proteinID,description,modelnotes,defline
708870,CBM1-CBM1,,Carbohydrate-Binding Module Family 1 protein
708872,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
708990,GH1,,Glycoside Hydrolase Family 1 protein
709117,GH3,,Glycoside Hydrolase Family 3 protein
709155,GT34,,Glycosyltransferase Family 34 protein
709220,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
709304,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
709347,CBM18,,Carbohydrate-Binding Module Family 18 protein
709367,GH47,,Glycoside Hydrolase Family 47 protein
709446,DOC2-DOC2,,Non-Catalytic Module Family DOC2
709463,GH10-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
709470,CBM1,,Carbohydrate-Binding Module Family 1 protein
709472,CBM1,,Carbohydrate-Binding Module Family 1 protein
709482,GH47,,Glycoside Hydrolase Family 47 protein
709512,CE6-DOC2-DOC2,,Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
709522,GH10-CBM29,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 29 protein
709532,DOC2,(fragment)  splicing problem;,Non-Catalytic Module Family DOC2
709593,CE1,,Carbohydrate Esterase Family 1 protein
709623,CBM18,,Carbohydrate-Binding Module Family 18 protein
709632,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
709633,CBM18,,Carbohydrate-Binding Module Family 18 protein
709663,CBM18,,Carbohydrate-Binding Module Family 18 protein
709696,CE16,,Carbohydrate Esterase Family 16 protein
709739,GH2-CBM13-DOC2-DOC2,,Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
709765,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
56299,putative dbCAN2 CE18,dbCAN2 prediction,putative dbCAN2 CE18
382852,putative dbCAN2 CE18,dbCAN2 prediction,putative dbCAN2 CE18
388102,putative dbCAN2 CE18,dbCAN2 prediction,putative dbCAN2 CE18
394421,putative dbCAN2 CBM87+CE18,dbCAN2 prediction,putative dbCAN2 CBM87+CE18
400214,putative dbCAN2 GH114,dbCAN2 prediction,putative dbCAN2 GH114
453291,putative dbCAN2 CE16,dbCAN2 prediction,putative dbCAN2 CE16
503701,putative dbCAN2 CE1,dbCAN2 prediction,putative dbCAN2 CE1
505306,putative dbCAN2 CE16,dbCAN2 prediction,putative dbCAN2 CE16
508324,putative dbCAN2 GH43,dbCAN2 prediction,putative dbCAN2 GH43
663000,putative dbCAN2 CE18,dbCAN2 prediction,putative dbCAN2 CE18
663203,putative dbCAN2 CBM87,dbCAN2 prediction,putative dbCAN2 CBM87
664121,putative dbCAN2 PL4,dbCAN2 prediction,putative dbCAN2 PL4
665879,putative dbCAN2 CE18,dbCAN2 prediction,putative dbCAN2 CE18
668659,putative dbCAN2 CBM87+CE18,dbCAN2 prediction,putative dbCAN2 CBM87+CE18
